iter,retain_acc,forget_acc
1,0.012037270209015362,0.019672131147540985
4,0.8870813397129187,0.8360655737704918
5,0.8952404935784437,0.8426229508196721
12,0.6598337950138504,0.38688524590163936
24,0.6727272727272727,0.3983606557377049
36,0.6663812641651977,0.36885245901639346
48,0.6070007554772098,0.25081967213114753
60,0.5774364140015109,0.22459016393442624
72,0.5774364140015109,0.22459016393442624
84,0.5774364140015109,0.22459016393442624
96,0.5774364140015109,0.22459016393442624
108,0.5774364140015109,0.22459016393442624
120,0.5774364140015109,0.22459016393442624
